Registration,Aircraft Type,Config,Delivered,Remark,Age
EIDCJ,Boeing 737-800,Y189,Sep 2004,,19.9 Years
EIDCK,Boeing 737-800,Y189,Sep 2004,,19.9 Years
EIDCL,Boeing 737-800,Y189,Oct 2004,,19.9 Years
EIDCM,Boeing 737-800,Y189,Oct 2004,,19.8 Years
EIDCN,Boeing 737-800,Y189,Nov 2004,,19.8 Years
EIDCO,Boeing 737-800,Y189,Nov 2004,,19.8 Years
EIDCP,Boeing 737-800,Y189,Nov 2004,,19.8 Years
EIDCR,Boeing 737-800,Y189,Dec 2004,,19.7 Years
EIDCW,Boeing 737-800,Y189,Jan 2005,,19.6 Years
EIDCX,Boeing 737-800,Y189,Jan 2005,,19.5 Years
EIDCY,Boeing 737-800,Y189,Jan 2005,,19.5 Years
EIDCZ,Boeing 737-800,Y189,Jan 2005,,19.5 Years
EIDHA,Boeing 737-800,Y189,Feb 2005,,19.5 Years
EIDHC,Boeing 737-800,Y189,Feb 2005,,19.4 Years
EIDHD,Boeing 737-800,Y189,Feb 2005,,19.4 Years
EIDHE,Boeing 737-800,Y189,Mar 2005,,19.4 Years
EIDHF,Boeing 737-800,Y189,Mar 2005,,19.4 Years
EIDHG,Boeing 737-800,Y189,Mar 2005,,19.4 Years
EIDHH,Boeing 737-800,Y189,Mar 2005,,19.3 Years
EIDHN,Boeing 737-800,Y189,Sep 2005,,18.9 Years
EIDHO,Boeing 737-800,Y189,Oct 2005,,18.8 Years
EIDHR,Boeing 737-800,Y189,Oct 2005,,18.8 Years
EIDHX,Boeing 737-800,Y189,Dec 2005,,18.7 Years
EIDHZ,Boeing 737-800,Y189,Dec 2005,,18.6 Years
EIDLB,Boeing 737-800,Y189,Dec 2005,,18.6 Years
EIDLC,Boeing 737-800,Y189,Jan 2006,,18.6 Years
EIDLD,Boeing 737-800,Y189,Jan 2006,,18.6 Years
EIDLF,Boeing 737-800,Y189,Feb 2006,,18.5 Years
EIDLI,Boeing 737-800,Y189,Mar 2006,,18.4 Years
EIDLV,Boeing 737-800,Y189,Sep 2006,,17.8 Years
EIDLW,Boeing 737-800,Y189,Oct 2006,,17.8 Years
EIDLX,Boeing 737-800,Y189,Oct 2006,,17.8 Years
EIDLY,Boeing 737-800,Y189,Oct 2006,,17.8 Years
EIDPF,Boeing 737-800,Y189,Jan 2007,,17.5 Years
EIDPH,Boeing 737-800,Y189,Feb 2007,,17.5 Years
EIDPI,Boeing 737-800,Y189,Feb 2007,,17.5 Years
EIDPJ,Boeing 737-800,Y189,Feb 2007,,17.5 Years
EIDPK,Boeing 737-800,Y189,Feb 2007,,17.4 Years
EIDPL,Boeing 737-800,Y189,Feb 2007,,17.4 Years
EIDPN,Boeing 737-800,Y189,Mar 2007,Cantabria Infinita sticker,17.4 Years
EIDPP,Boeing 737-800,Y189,Mar 2007,,17.4 Years
EIDPR,Boeing 737-800,Y189,Mar 2007,Cantabria Infinita sticker,17.4 Years
EIDPV,Boeing 737-800,Y189,Apr 2007,,17.3 Years
EIDPY,Boeing 737-800,Y189,Sep 2007,,16.9 Years
EIDPZ,Boeing 737-800,Y189,Sep 2007,,16.9 Years
EIDWA,Boeing 737-800,Y189,Sep 2007,,16.9 Years
EIDWC,Boeing 737-800,Y189,Sep 2007,,16.9 Years
EIDWD,Boeing 737-800,Y189,Sep 2007,,16.9 Years
EIDWE,Boeing 737-800,Y189,Sep 2007,,16.8 Years
EIDWF,Boeing 737-800,Y189,Oct 2007,,16.8 Years
EIDWG,Boeing 737-800,Y189,Oct 2007,,16.8 Years
EIDWH,Boeing 737-800,Y189,Oct 2007,,16.8 Years
EIDWK,Boeing 737-800,Y189,Oct 2007,,16.8 Years
EIDWM,Boeing 737-800,Y189,Nov 2007,Parked / Maintenance,16.7 Years
EIDWO,Boeing 737-800,Y189,Nov 2007,,16.7 Years
EIDWP,Boeing 737-800,Y189,Nov 2007,,16.7 Years
EIDWR,Boeing 737-800,Y189,Nov 2007,,16.7 Years
EIDWS,Boeing 737-800,Y189,Jan 2008,,16.6 Years
